pizza_id,order_id,pizza_name,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,num_of_ingredients
76,37,The Mediterranean Pizza,1,01/03/2015,19:20,20.25,,L,Veggie,7
77,38,The Pepper Salami Pizza,1,01/03/2015,19:27,20.75,,L,Supreme,6
78,38,The Greek Pizza,1,01/03/2015,19:27,12,,S,Classic,6
79,39,The Classic Deluxe Pizza,1,01/03/2015,19:39,12,,S,Classic,5
80,40,The Pepperoni Pizza,1,01/03/2015,19:43,9.75,,S,Classic,2
81,40,The Thai Chicken Pizza,1,01/03/2015,19:43,20.75,,L,Chicken,5
82,41,"The Pepperoni, Mushroom, and Peppers Pizza",1,01/03/2015,19:56,17.5,,L,Classic,3
83,41,The Pepperoni Pizza,1,01/03/2015,19:56,9.75,,S,Classic,2
84,41,The Greek Pizza,1,01/03/2015,19:56,25.5,,XL,Classic,6
85,42,The Italian Supreme Pizza,1,01/03/2015,20:06,16.5,,M,Supreme,6
86,43,The California Chicken Pizza,1,01/03/2015,20:07,16.75,,M,Chicken,7
87,43,The Pepperoni Pizza,1,01/03/2015,20:07,15.25,,L,Classic,2
88,43,The Southwest Chicken Pizza,1,01/03/2015,20:07,20.75,,L,Chicken,8
89,44,The Brie Carre Pizza,1,01/03/2015,20:49,23.65,,S,Supreme,6
90,44,The Hawaiian Pizza,1,01/03/2015,20:49,10.5,,S,Classic,3
91,44,The Thai Chicken Pizza,1,01/03/2015,20:49,12.75,,S,Chicken,5
92,45,The Vegetables + Vegetables Pizza,1,01/03/2015,21:10,20.25,,L,Veggie,8
93,46,The Five Cheese Pizza,1,01/03/2015,22:00,18.5,,L,Veggie,6
94,46,The Pepperoni Pizza,1,01/03/2015,22:00,15.25,,L,Classic,2
95,46,The Thai Chicken Pizza,1,01/03/2015,22:00,12.75,,S,Chicken,5
96,47,The Southwest Chicken Pizza,1,01/03/2015,22:08,20.75,,L,Chicken,8
97,48,The California Chicken Pizza,1,01/03/2015,22:23,16.75,,M,Chicken,7
98,49,The Big Meat Pizza,1,01/03/2015,22:59,12,,S,Classic,4
99,49,The Classic Deluxe Pizza,1,01/03/2015,22:59,12,,S,Classic,5
100,50,"The Pepperoni, Mushroom, and Peppers Pizza",1,02/03/2015,11:49,11,,S,Classic,3
101,51,The Chicken Alfredo Pizza,1,02/03/2015,11:52,16.75,,M,Chicken,6
102,52,The Prosciutto and Arugula Pizza,1,02/03/2015,11:55,16.5,,M,Supreme,3
103,52,The Spicy Italian Pizza,1,02/03/2015,11:55,16.5,,M,Supreme,6
104,53,The Barbecue Chicken Pizza,1,02/03/2015,12:07,12.75,,S,Chicken,6
105,53,The Calabrese Pizza,1,02/03/2015,12:07,16.25,,M,Supreme,6
106,53,The California Chicken Pizza,1,02/03/2015,12:07,16.75,,M,Chicken,7
107,53,The Five Cheese Pizza,1,02/03/2015,12:07,18.5,,L,Veggie,6
108,53,The Four Cheese Pizza,1,02/03/2015,12:07,17.95,,L,Veggie,5
109,53,The Italian Capocollo Pizza,1,02/03/2015,12:07,20.5,,L,Classic,6
110,53,The Mexicana Pizza,1,02/03/2015,12:07,16,,M,Veggie,8
111,53,The Sicilian Pizza,1,02/03/2015,12:07,16.25,,M,Supreme,6
112,53,The Southwest Chicken Pizza,1,02/03/2015,12:07,20.75,,L,Chicken,8
113,53,The Spicy Italian Pizza,1,02/03/2015,12:07,20.75,,L,Supreme,6
114,53,The Spicy Italian Pizza,1,02/03/2015,12:07,16.5,,M,Supreme,6
115,53,The Spinach Pesto Pizza,1,02/03/2015,12:07,16.5,,M,Veggie,6
116,53,The Spinach and Feta Pizza,1,02/03/2015,12:07,12,,S,Veggie,5
117,54,The Chicken Alfredo Pizza,1,02/03/2015,12:30,20.75,,L,Chicken,6
118,54,The Five Cheese Pizza,1,02/03/2015,12:30,18.5,,L,Veggie,6
119,54,The Thai Chicken Pizza,1,02/03/2015,12:30,16.75,,M,Chicken,5
120,55,The Napolitana Pizza,1,02/03/2015,12:33,20.5,,L,Classic,5
121,56,The Barbecue Chicken Pizza,1,02/03/2015,12:34,16.75,,M,Chicken,6
122,57,The Italian Supreme Pizza,1,02/03/2015,12:39,20.75,,L,Supreme,6
123,57,"The Pepperoni, Mushroom, and Peppers Pizza",1,02/03/2015,12:39,14.5,,M,Classic,3
124,57,The Spinach and Feta Pizza,1,02/03/2015,12:39,20.25,,L,Veggie,5
125,58,The Pepper Salami Pizza,1,02/03/2015,12:42,20.75,,L,Supreme,6
126,59,The Barbecue Chicken Pizza,1,02/03/2015,12:46,12.75,,S,Chicken,6
127,59,The California Chicken Pizza,1,02/03/2015,12:46,20.75,,L,Chicken,7
128,59,The Chicken Pesto Pizza,1,02/03/2015,12:46,20.75,,L,Chicken,6
129,59,The Hawaiian Pizza,1,02/03/2015,12:46,13.25,,M,Classic,3
130,59,The Mediterranean Pizza,1,02/03/2015,12:46,16,,M,Veggie,7
131,59,The Napolitana Pizza,1,02/03/2015,12:46,16,,M,Classic,5
132,59,The Greek Pizza,1,02/03/2015,12:46,25.5,,XL,Classic,6
133,59,The Vegetables + Vegetables Pizza,1,02/03/2015,12:46,16,,M,Veggie,8
134,59,The Vegetables + Vegetables Pizza,1,02/03/2015,12:46,12,,S,Veggie,8
135,60,The Hawaiian Pizza,1,02/03/2015,12:50,10.5,,S,Classic,3
136,60,The Italian Vegetables Pizza,1,02/03/2015,12:50,16.75,,M,Veggie,7
137,60,The Spicy Italian Pizza,1,02/03/2015,12:50,20.75,,L,Supreme,6
138,60,The Spicy Italian Pizza,1,02/03/2015,12:50,16.5,,M,Supreme,6
139,61,The Italian Supreme Pizza,1,02/03/2015,13:07,20.75,,L,Supreme,6
140,62,The Soppressata Pizza,1,02/03/2015,13:11,16.5,,M,Supreme,5
141,63,The California Chicken Pizza,1,02/03/2015,13:15,20.75,,L,Chicken,7
142,63,The Green Garden Pizza,1,02/03/2015,13:15,12,,S,Veggie,5
143,63,The Southwest Chicken Pizza,1,02/03/2015,13:15,20.75,,L,Chicken,8
144,63,The Spicy Italian Pizza,1,02/03/2015,13:15,20.75,,L,Supreme,6
145,64,"The Pepperoni, Mushroom, and Peppers Pizza",1,02/03/2015,13:22,11,,S,Classic,3
146,65,The Brie Carre Pizza,1,02/03/2015,13:33,23.65,,S,Supreme,6
147,65,The California Chicken Pizza,1,02/03/2015,13:33,20.75,,L,Chicken,7
148,66,The Big Meat Pizza,1,02/03/2015,13:37,12,,S,Classic,4
149,67,The Spinach and Feta Pizza,1,02/03/2015,13:43,20.25,,L,Veggie,5
150,68,The Soppressata Pizza,1,02/03/2015,13:46,20.75,,L,Supreme,5
151,69,The Calabrese Pizza,1,02/03/2015,13:59,16.25,,M,Supreme,6
152,70,The Spinach Supreme Pizza,1,02/03/2015,14:01,20.75,,L,Supreme,8
153,70,The Spinach Supreme Pizza,1,02/03/2015,14:01,12.5,,S,Supreme,8
154,71,The Hawaiian Pizza,1,02/03/2015,14:04,13.25,,M,Classic,3
155,71,"The Pepperoni, Mushroom, and Peppers Pizza",1,02/03/2015,14:04,11,,S,Classic,3
156,71,The Southwest Chicken Pizza,1,02/03/2015,14:04,16.75,,M,Chicken,8
157,72,The Mexicana Pizza,1,02/03/2015,14:43,20.25,,L,Veggie,8
158,73,The Big Meat Pizza,1,02/03/2015,15:01,12,,S,Classic,4
159,74,The California Chicken Pizza,1,02/03/2015,15:27,12.75,,S,Chicken,7
160,75,The Hawaiian Pizza,1,02/03/2015,15:27,10.5,,S,Classic,3
161,75,The Prosciutto and Arugula Pizza,1,02/03/2015,15:27,16.5,,M,Supreme,3
162,76,The Italian Supreme Pizza,1,02/03/2015,15:40,16.5,,M,Supreme,6
163,76,The Sicilian Pizza,1,02/03/2015,15:40,20.25,,L,Supreme,6
164,76,The Spicy Italian Pizza,1,02/03/2015,15:40,20.75,,L,Supreme,6
165,77,The Spinach and Feta Pizza,1,02/03/2015,15:43,12,,S,Veggie,5
166,77,The Spinach Supreme Pizza,1,02/03/2015,15:43,20.75,,L,Supreme,8
167,78,The Barbecue Chicken Pizza,1,02/03/2015,15:50,20.75,,L,Chicken,6
168,78,The Green Garden Pizza,1,02/03/2015,15:50,12,,S,Veggie,5
169,78,The Italian Capocollo Pizza,1,02/03/2015,15:50,20.5,,L,Classic,6
170,78,The Mexicana Pizza,1,02/03/2015,15:50,20.25,,L,Veggie,8
171,79,The Barbecue Chicken Pizza,1,02/03/2015,15:53,20.75,,L,Chicken,6
172,79,The Thai Chicken Pizza,1,02/03/2015,15:53,12.75,,S,Chicken,5
173,80,The Classic Deluxe Pizza,2,02/03/2015,16:19,16,,M,Classic,5
174,80,The Classic Deluxe Pizza,1,02/03/2015,16:19,12,,S,Classic,5
175,80,The Italian Vegetables Pizza,1,02/03/2015,16:19,21,,L,Veggie,7
176,81,The Southwest Chicken Pizza,1,02/03/2015,16:28,16.75,,M,Chicken,8
177,82,The Spinach Pesto Pizza,1,02/03/2015,16:36,16.5,,M,Veggie,6
178,83,The Four Cheese Pizza,1,02/03/2015,16:36,17.95,,L,Veggie,5
179,83,The Greek Pizza,1,02/03/2015,16:36,25.5,,XL,Classic,6
180,84,The Sicilian Pizza,1,02/03/2015,16:58,20.25,,L,Supreme,6
181,84,The Spinach Pesto Pizza,1,02/03/2015,16:58,20.75,,L,Veggie,6
182,85,The Barbecue Chicken Pizza,1,02/03/2015,17:13,12.75,,S,Chicken,6
183,85,The California Chicken Pizza,1,02/03/2015,17:13,16.75,,M,Chicken,7
184,85,The Pepperoni Pizza,1,02/03/2015,17:13,12.5,,M,Classic,2
185,86,The California Chicken Pizza,1,02/03/2015,17:19,20.75,,L,Chicken,7
186,86,The Vegetables + Vegetables Pizza,1,02/03/2015,17:19,12,,S,Veggie,8
187,87,The Barbecue Chicken Pizza,1,02/03/2015,17:31,20.75,,L,Chicken,6
188,87,The Southwest Chicken Pizza,1,02/03/2015,17:31,20.75,,L,Chicken,8
189,87,The Vegetables + Vegetables Pizza,1,02/03/2015,17:31,20.25,,L,Veggie,8
190,88,The Big Meat Pizza,1,02/03/2015,17:33,12,,S,Classic,4
191,88,The Classic Deluxe Pizza,1,02/03/2015,17:33,16,,M,Classic,5
192,88,The Pepper Salami Pizza,1,02/03/2015,17:33,12.5,,S,Supreme,6
193,88,The Prosciutto and Arugula Pizza,1,02/03/2015,17:33,20.75,,L,Supreme,3
194,89,The Napolitana Pizza,1,02/03/2015,17:47,20.5,,L,Classic,5
195,89,The Thai Chicken Pizza,1,02/03/2015,17:47,20.75,,L,Chicken,5
196,90,The Calabrese Pizza,1,02/03/2015,17:54,16.25,,M,Supreme,6
197,91,The Pepperoni Pizza,1,02/03/2015,18:02,9.75,,S,Classic,2
198,92,The Hawaiian Pizza,1,02/03/2015,18:06,13.25,,M,Classic,3
199,92,The Pepper Salami Pizza,1,02/03/2015,18:06,20.75,,L,Supreme,6
200,92,The Prosciutto and Arugula Pizza,1,02/03/2015,18:06,16.5,,M,Supreme,3
201,92,The Greek Pizza,1,02/03/2015,18:06,25.5,,XL,Classic,6
202,93,The Chicken Pesto Pizza,1,02/03/2015,18:20,12.75,,S,Chicken,6
203,93,The Classic Deluxe Pizza,1,02/03/2015,18:20,16,,M,Classic,5
204,93,The Thai Chicken Pizza,1,02/03/2015,18:20,20.75,,L,Chicken,5
205,94,The Southwest Chicken Pizza,1,02/03/2015,18:25,20.75,,L,Chicken,8
206,95,The Barbecue Chicken Pizza,1,02/03/2015,18:29,12.75,,S,Chicken,6
207,95,The Mediterranean Pizza,1,02/03/2015,18:29,20.25,,L,Veggie,7
208,96,The Mexicana Pizza,1,02/03/2015,18:29,20.25,,L,Veggie,8
209,96,The Prosciutto and Arugula Pizza,1,02/03/2015,18:29,20.75,,L,Supreme,3
210,96,The Thai Chicken Pizza,1,02/03/2015,18:29,20.75,,L,Chicken,5
211,97,The Italian Vegetables Pizza,1,02/03/2015,18:45,12.75,,S,Veggie,7
212,97,The Spicy Italian Pizza,1,02/03/2015,18:45,20.75,,L,Supreme,6
213,97,The Spinach Supreme Pizza,1,02/03/2015,18:45,20.75,,L,Supreme,8
214,98,The Barbecue Chicken Pizza,1,02/03/2015,19:01,12.75,,S,Chicken,6
215,98,The Mexicana Pizza,1,02/03/2015,19:01,20.25,,L,Veggie,8
216,99,The Big Meat Pizza,1,02/03/2015,19:09,12,,S,Classic,4
217,99,The Classic Deluxe Pizza,1,02/03/2015,19:09,16,,M,Classic,5
218,99,The Green Garden Pizza,1,02/03/2015,19:09,20.25,,L,Veggie,5
219,99,The Vegetables + Vegetables Pizza,1,02/03/2015,19:09,16,,M,Veggie,8
220,100,The Italian Capocollo Pizza,1,02/03/2015,19:34,12,,S,Classic,6
221,100,The Pepper Salami Pizza,1,02/03/2015,19:34,20.75,,L,Supreme,6
222,100,The Spinach and Feta Pizza,1,02/03/2015,19:34,20.25,,L,Veggie,5
223,101,The Spicy Italian Pizza,1,02/03/2015,20:41,16.5,,M,Supreme,6
224,102,The Pepperoni Pizza,1,02/03/2015,21:00,15.25,,L,Classic,2
225,103,The Hawaiian Pizza,1,02/03/2015,21:03,13.25,,M,Classic,3
226,103,"The Pepperoni, Mushroom, and Peppers Pizza",1,02/03/2015,21:03,14.5,,M,Classic,3
227,103,The Pepperoni Pizza,1,02/03/2015,21:03,12.5,,M,Classic,2
228,104,The Big Meat Pizza,1,02/03/2015,21:16,12,,S,Classic,4
229,104,The Classic Deluxe Pizza,1,02/03/2015,21:16,16,,M,Classic,5
230,104,The Southwest Chicken Pizza,1,02/03/2015,21:16,20.75,,L,Chicken,8
231,105,The Sicilian Pizza,1,02/03/2015,21:28,20.25,,L,Supreme,6
232,105,The Southwest Chicken Pizza,1,02/03/2015,21:28,20.75,,L,Chicken,8
233,105,The Southwest Chicken Pizza,1,02/03/2015,21:28,16.75,,M,Chicken,8
234,105,The Southwest Chicken Pizza,1,02/03/2015,21:28,12.75,,S,Chicken,8
235,106,"The Pepperoni, Mushroom, and Peppers Pizza",1,02/03/2015,21:34,14.5,,M,Classic,3
236,106,The Southwest Chicken Pizza,1,02/03/2015,21:34,20.75,,L,Chicken,8
237,107,The Hawaiian Pizza,1,02/03/2015,22:21,10.5,,S,Classic,3
238,108,The California Chicken Pizza,1,03/03/2015,11:26,20.75,,L,Chicken,7
239,109,The California Chicken Pizza,1,03/03/2015,11:31,20.75,,L,Chicken,7
240,109,The Spicy Italian Pizza,1,03/03/2015,11:31,12.5,,S,Supreme,6
241,110,The Sicilian Pizza,1,03/03/2015,11:50,12.25,,S,Supreme,6
242,111,The Napolitana Pizza,1,03/03/2015,12:14,20.5,,L,Classic,5
243,112,The Five Cheese Pizza,1,03/03/2015,12:24,18.5,,L,Veggie,6
244,112,The Hawaiian Pizza,1,03/03/2015,12:24,13.25,,M,Classic,3
245,112,The Southwest Chicken Pizza,1,03/03/2015,12:24,16.75,,M,Chicken,8
246,113,The Five Cheese Pizza,1,03/03/2015,12:39,18.5,,L,Veggie,6
247,113,The Italian Capocollo Pizza,1,03/03/2015,12:39,20.5,,L,Classic,6
248,113,The Napolitana Pizza,1,03/03/2015,12:39,16,,M,Classic,5
249,113,The Prosciutto and Arugula Pizza,1,03/03/2015,12:39,12.5,,S,Supreme,3
250,114,The Hawaiian Pizza,1,03/03/2015,12:48,16.5,,L,Classic,3
251,115,The California Chicken Pizza,1,03/03/2015,12:57,16.75,,M,Chicken,7
252,116,The Green Garden Pizza,1,03/03/2015,12:57,12,,S,Veggie,5
253,116,The Spinach and Feta Pizza,1,03/03/2015,12:57,12,,S,Veggie,5
254,117,The Prosciutto and Arugula Pizza,1,03/03/2015,13:01,20.75,,L,Supreme,3
255,118,The Chicken Alfredo Pizza,1,03/03/2015,13:05,20.75,,L,Chicken,6
256,118,The Hawaiian Pizza,1,03/03/2015,13:05,10.5,,S,Classic,3
257,119,The Big Meat Pizza,1,03/03/2015,13:07,12,,S,Classic,4
258,119,The Four Cheese Pizza,1,03/03/2015,13:07,17.95,,L,Veggie,5
259,119,The Spinach and Feta Pizza,1,03/03/2015,13:07,16,,M,Veggie,5
260,119,The Spinach Supreme Pizza,1,03/03/2015,13:07,12.5,,S,Supreme,8
261,120,The Calabrese Pizza,1,03/03/2015,13:13,16.25,,M,Supreme,6
262,120,The Green Garden Pizza,1,03/03/2015,13:13,16,,M,Veggie,5
263,120,The Hawaiian Pizza,1,03/03/2015,13:13,16.5,,L,Classic,3
264,121,The Five Cheese Pizza,1,03/03/2015,13:16,18.5,,L,Veggie,6
265,122,The Italian Supreme Pizza,1,03/03/2015,13:21,16.5,,M,Supreme,6
266,122,The Italian Vegetables Pizza,1,03/03/2015,13:21,16.75,,M,Veggie,7
267,122,The Southwest Chicken Pizza,1,03/03/2015,13:21,16.75,,M,Chicken,8
268,122,The Spinach Supreme Pizza,1,03/03/2015,13:21,12.5,,S,Supreme,8
269,123,The Pepper Salami Pizza,1,03/03/2015,13:25,20.75,,L,Supreme,6
270,124,The Barbecue Chicken Pizza,1,03/03/2015,13:38,12.75,,S,Chicken,6
271,124,The Big Meat Pizza,1,03/03/2015,13:38,12,,S,Classic,4
272,124,The California Chicken Pizza,2,03/03/2015,13:38,20.75,,L,Chicken,7
273,124,The California Chicken Pizza,1,03/03/2015,13:38,16.75,,M,Chicken,7
274,124,The Chicken Alfredo Pizza,1,03/03/2015,13:38,16.75,,M,Chicken,6
275,124,The Classic Deluxe Pizza,1,03/03/2015,13:38,20.5,,L,Classic,5
276,124,The Hawaiian Pizza,1,03/03/2015,13:38,16.5,,L,Classic,3
277,124,The Hawaiian Pizza,1,03/03/2015,13:38,10.5,,S,Classic,3
278,124,The Mexicana Pizza,1,03/03/2015,13:38,20.25,,L,Veggie,8
279,124,The Napolitana Pizza,1,03/03/2015,13:38,16,,M,Classic,5
280,124,The Sicilian Pizza,1,03/03/2015,13:38,16.25,,M,Supreme,6
281,124,The Spicy Italian Pizza,1,03/03/2015,13:38,16.5,,M,Supreme,6
282,125,The Classic Deluxe Pizza,1,03/03/2015,13:39,12,,S,Classic,5
283,125,The Napolitana Pizza,1,03/03/2015,13:39,20.5,,L,Classic,5
284,125,The Sicilian Pizza,1,03/03/2015,13:39,16.25,,M,Supreme,6
285,125,The Thai Chicken Pizza,1,03/03/2015,13:39,12.75,,S,Chicken,5
286,126,The Spinach and Feta Pizza,1,03/03/2015,13:41,12,,S,Veggie,5
287,127,The Four Cheese Pizza,1,03/03/2015,13:53,14.75,,M,Veggie,5
288,127,The Mexicana Pizza,1,03/03/2015,13:53,16,,M,Veggie,8
289,128,The Italian Capocollo Pizza,1,03/03/2015,14:00,20.5,,L,Classic,6
290,128,The Thai Chicken Pizza,2,03/03/2015,14:00,20.75,,L,Chicken,5
291,129,The California Chicken Pizza,1,03/03/2015,14:03,12.75,,S,Chicken,7
292,129,The Hawaiian Pizza,1,03/03/2015,14:03,13.25,,M,Classic,3
293,129,The Pepperoni Pizza,1,03/03/2015,14:03,15.25,,L,Classic,2
294,129,The Pepper Salami Pizza,1,03/03/2015,14:03,20.75,,L,Supreme,6
295,129,The Prosciutto and Arugula Pizza,1,03/03/2015,14:03,16.5,,M,Supreme,3
296,129,The Soppressata Pizza,1,03/03/2015,14:03,12.5,,S,Supreme,5
297,129,The Southwest Chicken Pizza,1,03/03/2015,14:03,20.75,,L,Chicken,8
298,129,The Spinach Pesto Pizza,2,03/03/2015,14:03,12.5,,S,Veggie,6
299,129,The Vegetables + Vegetables Pizza,1,03/03/2015,14:03,16,,M,Veggie,8
300,129,The Vegetables + Vegetables Pizza,1,03/03/2015,14:03,12,,S,Veggie,8
301,130,The Big Meat Pizza,1,03/03/2015,14:08,12,,S,Classic,4
302,130,The Classic Deluxe Pizza,1,03/03/2015,14:08,16,,M,Classic,5
303,130,The Hawaiian Pizza,1,03/03/2015,14:08,16.5,,L,Classic,3
304,130,The Pepperoni Pizza,1,03/03/2015,14:08,12.5,,M,Classic,2
305,131,The Barbecue Chicken Pizza,1,03/03/2015,15:05,16.75,,M,Chicken,6
306,131,The Italian Capocollo Pizza,1,03/03/2015,15:05,20.5,,L,Classic,6
307,131,The Mexicana Pizza,1,03/03/2015,15:05,12,,S,Veggie,8
308,131,The Thai Chicken Pizza,1,03/03/2015,15:05,16.75,,M,Chicken,5
309,132,The Four Cheese Pizza,1,03/03/2015,15:34,14.75,,M,Veggie,5
310,133,The Chicken Alfredo Pizza,1,03/03/2015,15:47,16.75,,M,Chicken,6
311,133,The Mediterranean Pizza,1,03/03/2015,15:47,16,,M,Veggie,7
312,133,The Mexicana Pizza,1,03/03/2015,15:47,20.25,,L,Veggie,8
313,133,The Sicilian Pizza,1,03/03/2015,15:47,20.25,,L,Supreme,6
314,134,The Classic Deluxe Pizza,1,03/03/2015,15:55,12,,S,Classic,5
315,135,The Barbecue Chicken Pizza,1,03/03/2015,16:32,20.75,,L,Chicken,6
316,135,The Italian Capocollo Pizza,1,03/03/2015,16:32,20.5,,L,Classic,6
317,135,The Italian Vegetables Pizza,1,03/03/2015,16:32,21,,L,Veggie,7
318,136,The Barbecue Chicken Pizza,1,03/03/2015,16:43,20.75,,L,Chicken,6
319,136,The Soppressata Pizza,1,03/03/2015,16:43,20.75,,L,Supreme,5
