index,Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs
119,Glen Imaal Terrier,14,14,34,36
120,Lakeland Terrier,13,14,15,17
121,Manchester Terrier (Standard),15,16,17,18
122,Poodle Miniature,10,15,20,20
123,Pug,10,11,14,22
124,Puli,16,17,29,33
125,Schipperke,10,13,12,18
126,Scottish Terrier,10,12,18,22
127,Sealyham Terrier,12,12,18,20
128,Shetland Sheepdog (Sheltie),13,16,14,20
129,Shiba Inu,13,16,15,30
130,Shih Tzu,8,11,9,16
131,Silky Terrier,9,10,8,11
132,Skye Terrier,10,10,25,25
133,Tibetan Spaniel,10,10,9,15
134,Tibetan Terrier,14,17,20,30
135,Welsh Terrier,15,15,20,21
136,West Highland White Terrier,11,11,13,15
137,Whippet,18,22,27,30
138,Affenpinscher,9,12,8,12
139,Chihuahua,6,9,2,5
140,Chinese Crested,11,13,5,12
141,Italian Greyhound,12,15,6,10
142,Japanese Chin,8,11,4,11
143,Maltese,8,10,4,6
144,Manchester Terrier (Toy),10,12,6,8
145,Papillon,8,11,5,10
146,Pomeranian,12,12,3,7
147,Poodle Toy,10,10,10,10
148,Toy Fox Terrier,10,10,4,7
149,Yorkshire Terrier,8,8,3,7
